account_cd,account_nm,list_nm,list_no
A32,대출금_유가증권담보대출,요약재무상태표(자산-신탁계정),SA007
A33,대출금_동산담보대출,요약재무상태표(자산-신탁계정),SA007
A34,대출금_부동산저당대출,요약재무상태표(자산-신탁계정),SA007
A36,대출금_채권담보대출,요약재무상태표(자산-신탁계정),SA007
A37,대출금_수익권담보대출,요약재무상태표(자산-신탁계정),SA007
A39,대출금_보증대출,요약재무상태표(자산-신탁계정),SA007
A3A,대출금_증서대출,요약재무상태표(자산-신탁계정),SA007
A3B,대출금_어음대출,요약재무상태표(자산-신탁계정),SA007
A4,콜론,요약재무상태표(자산-신탁계정),SA007
A5,환매조건부채권매수,요약재무상태표(자산-신탁계정),SA007
A6,추심금전채권,요약재무상태표(자산-신탁계정),SA007
A7,동산·부동산,요약재무상태표(자산-신탁계정),SA007
A8,지상권,요약재무상태표(자산-신탁계정),SA007
A9,전세권,요약재무상태표(자산-신탁계정),SA007
AA,토지의 임차권,요약재무상태표(자산-신탁계정),SA007
AD,은행계정대,요약재무상태표(자산-신탁계정),SA007
AE,신탁본지점,요약재무상태표(자산-신탁계정),SA007
AF,현재가치할인차금,요약재무상태표(자산-신탁계정),SA007
AG,채권평가충당금,요약재무상태표(자산-신탁계정),SA007
AH,손익,요약재무상태표(자산-신탁계정),SA007
A,자산총계,요약재무상태표(자산-신탁계정),SA007
A1,금전신탁,요약재무상태표(부채-신탁계정),SA008
A11,불특정금전신탁,요약재무상태표(부채-신탁계정),SA008
A12,적립식목적신탁,요약재무상태표(부채-신탁계정),SA008
A13,가계금전신탁,요약재무상태표(부채-신탁계정),SA008
A14,개발신탁,요약재무상태표(부채-신탁계정),SA008
A15,노후연금신탁,요약재무상태표(부채-신탁계정),SA008
A16,기업금전신탁,요약재무상태표(부채-신탁계정),SA008
A17,국민주신탁,요약재무상태표(부채-신탁계정),SA008
A18,근로자퇴직적립신탁,요약재무상태표(부채-신탁계정),SA008
A19,개인연금신탁,요약재무상태표(부채-신탁계정),SA008
A1A,가계장기신탁,요약재무상태표(부채-신탁계정),SA008
A1B,근로자우대신탁,요약재무상태표(부채-신탁계정),SA008
A1C,신종적립신탁,요약재무상태표(부채-신탁계정),SA008
A1D,퇴직신탁운용,요약재무상태표(부채-신탁계정),SA008
A1E,특정금전신탁,요약재무상태표(부채-신탁계정),SA008
A1F,단위금전신탁,요약재무상태표(부채-신탁계정),SA008
A1G,추가금전신탁,요약재무상태표(부채-신탁계정),SA008
A1H,부동산투자신탁,요약재무상태표(부채-신탁계정),SA008
A1I,신개인연금신탁,요약재무상태표(부채-신탁계정),SA008
A1J,신노후생활연금신탁,요약재무상태표(부채-신탁계정),SA008
A1K,신근로자우대신탁,요약재무상태표(부채-신탁계정),SA008
A1L,연금신탁,요약재무상태표(부채-신탁계정),SA008
A2,재산신탁,요약재무상태표(부채-신탁계정),SA008
A21,유가증권의신탁,요약재무상태표(부채-신탁계정),SA008
A22,금전채권의신탁,요약재무상태표(부채-신탁계정),SA008
A23,동산부동산의신탁,요약재무상태표(부채-신탁계정),SA008
A24,지상권의신탁,요약재무상태표(부채-신탁계정),SA008
A25,전세권의신탁,요약재무상태표(부채-신탁계정),SA008
A26,토지임차권의신탁,요약재무상태표(부채-신탁계정),SA008
A3,공익신탁,요약재무상태표(부채-신탁계정),SA008
A4,담보부사채신탁,요약재무상태표(부채-신탁계정),SA008
A5,차입금,요약재무상태표(부채-신탁계정),SA008
A7,특별유보금,요약재무상태표(부채-신탁계정),SA008
A8,신탁본지점,요약재무상태표(부채-신탁계정),SA008
A9,손익,요약재무상태표(부채-신탁계정),SA008
A,부채총계,요약재무상태표(부채-신탁계정),SA008
A1,조달_금전신탁,주요자금조달 및 운용(신탁계정),SA009
A11,조달_금전신탁_(이익보전),주요자금조달 및 운용(신탁계정),SA009
A12,조달_금전신탁_(원본보전),주요자금조달 및 운용(신탁계정),SA009
A13,조달_금전신탁_(실적배당),주요자금조달 및 운용(신탁계정),SA009
A2,조달_금전신탁_특별보유금,주요자금조달 및 운용(신탁계정),SA009
A3,조달_금전신탁_기타,주요자금조달 및 운용(신탁계정),SA009
A,조달(운용)계,주요자금조달 및 운용(신탁계정),SA009
A4,운용_대출금,주요자금조달 및 운용(신탁계정),SA009
A5,운용_유가증권,주요자금조달 및 운용(신탁계정),SA009
A6,운용_콜론,주요자금조달 및 운용(신탁계정),SA009
A7,운용_기타,주요자금조달 및 운용(신탁계정),SA009
A11,예치금이자,요약손익계산서(신탁계정),SA012
A12,유가증권이자,요약손익계산서(신탁계정),SA012
A13,대출금이자,요약손익계산서(신탁계정),SA012
A14,콜론이자,요약손익계산서(신탁계정),SA012
A15,환매조건부채권이자,요약손익계산서(신탁계정),SA012
A16,추심금전채권이자,요약손익계산서(신탁계정),SA012
A17,기타수입이자,요약손익계산서(신탁계정),SA012
A18,파생금융상품관련이익,요약손익계산서(신탁계정),SA012
A19,동산·부동산수익,요약손익계산서(신탁계정),SA012
A1A,유가증권대여료,요약손익계산서(신탁계정),SA012
A1B,유가증권관련수익,요약손익계산서(신탁계정),SA012
A1C,수입수수료,요약손익계산서(신탁계정),SA012
A1E,은행계정대이자,요약손익계산서(신탁계정),SA012
A1F,신탁본지점이자,요약손익계산서(신탁계정),SA012
A1G,특별유보금환입,요약손익계산서(신탁계정),SA012
A1H,채권평가충당금환입,요약손익계산서(신탁계정),SA012
A1I,손익금,요약손익계산서(신탁계정),SA012
A,수익(비용)계,요약손익계산서(신탁계정),SA012
A21,금전및재산신탁이익,요약손익계산서(신탁계정),SA012
A22,차입금이자,요약손익계산서(신탁계정),SA012
A23,기타지급이자,요약손익계산서(신탁계정),SA012
A24,지급수수료,요약손익계산서(신탁계정),SA012
A25,파생금융상품관련손실,요약손익계산서(신탁계정),SA012
A26,동산·부동산처분손실,요약손익계산서(신탁계정),SA012
A27,유가증권관련비용,요약손익계산서(신탁계정),SA012
A28,제상각,요약손익계산서(신탁계정),SA012
A29,기금출연료,요약손익계산서(신탁계정),SA012
A2A,세금과공과,요약손익계산서(신탁계정),SA012
A2B,신탁보수,요약손익계산서(신탁계정),SA012
A2D,특별유보금전입,요약손익계산서(신탁계정),SA012
A2E,채권평가충당금전입,요약손익계산서(신탁계정),SA012
A2F,신탁본지점이자,요약손익계산서(신탁계정),SA012
A2G,손익금,요약손익계산서(신탁계정),SA012
A,영업수익,요약손익계산서(은행계정),SA021
A1,이자수익,요약손익계산서(은행계정),SA021
A11,이자수익_예치금이자,요약손익계산서(은행계정),SA021
A12,이자수익_유가증권이자,요약손익계산서(은행계정),SA021
A13,이자수익_대출채권이자,요약손익계산서(은행계정),SA021
A14,이자수익_기타이자수익,요약손익계산서(은행계정),SA021
A2,수수료수익,요약손익계산서(은행계정),SA021
A21,수수료수익_수입수수료,요약손익계산서(은행계정),SA021
A22,수수료수익_수입보증료,요약손익계산서(은행계정),SA021
A23,수수료수익_중도해지수수료,요약손익계산서(은행계정),SA021
A24,수수료수익_기타수입수수료,요약손익계산서(은행계정),SA021
A3,기타영업수익,요약손익계산서(은행계정),SA021
A31,기타영업수익_유가증권 처분·평가·배당수익,요약손익계산서(은행계정),SA021
A32,기타영업수익_외환거래이익,요약손익계산서(은행계정),SA021
A33,기타영업수익_신탁업무운용수익,요약손익계산서(은행계정),SA021
A34,기타영업수익_기타,요약손익계산서(은행계정),SA021
B,영업비용,요약손익계산서(은행계정),SA021
B1,이자비용,요약손익계산서(은행계정),SA021
B11,이자비용_예수금이자,요약손익계산서(은행계정),SA021
B12,이자비용_차입금이자,요약손익계산서(은행계정),SA021
B13,이자비용_사채이자,요약손익계산서(은행계정),SA021
B14,이자비용_기타,요약손익계산서(은행계정),SA021
B2,수수료비용,요약손익계산서(은행계정),SA021
B21,수수료비용_지급수수료,요약손익계산서(은행계정),SA021
B22,수수료비용_신용카드관련수수료,요약손익계산서(은행계정),SA021
B3,기타영업비용,요약손익계산서(은행계정),SA021
B31,기타영업비용_유가증권처분·평가비용,요약손익계산서(은행계정),SA021
B32,기타영업비용_외환거래손실,요약손익계산서(은행계정),SA021
B33,기타영업비용_기금출연료,요약손익계산서(은행계정),SA021
B34,기타영업비용_대손상각비,요약손익계산서(은행계정),SA021
B35,기타영업비용_신탁업무운용손실,요약손익계산서(은행계정),SA021
B36,기타영업비용_기타,요약손익계산서(은행계정),SA021
B4,판매비와 관리비,요약손익계산서(은행계정),SA021
B41,판매비와 관리비_급여,요약손익계산서(은행계정),SA021
B42,판매비와 관리비_퇴직급여,요약손익계산서(은행계정),SA021
B43,판매비와 관리비_복리후생비,요약손익계산서(은행계정),SA021
B44,판매비와 관리비_임차료,요약손익계산서(은행계정),SA021
B45,판매비와 관리비_기타,요약손익계산서(은행계정),SA021
C,영업이익,요약손익계산서(은행계정),SA021
D,영업외수익,요약손익계산서(은행계정),SA021
E,영업외비용,요약손익계산서(은행계정),SA021
I,법인세차감전순이익,요약손익계산서(은행계정),SA021
J,법인세,요약손익계산서(은행계정),SA021
K,당기순이익,요약손익계산서(은행계정),SA021
K1,대손준비금,요약손익계산서(은행계정),SA021
K2,대손준비금 반영후 당기순이익,요약손익계산서(은행계정),SA021
O,기타포괄손익(법인세차감전),요약손익계산서(은행계정),SA021
P,기타포괄손익 법인세비용,요약손익계산서(은행계정),SA021
Q,법인세차감후 총포괄손익,요약손익계산서(은행계정),SA021
L,중단사업손익(법인세차감전),요약손익계산서(은행계정),SA021
M,중단사업손익 법인세비용,요약손익계산서(은행계정),SA021
N,법인세차감후 중단사업손익,요약손익계산서(은행계정),SA021
A1,현금 및 예치금,연결재무상태표(자산),SA022
A2,유가증권,연결재무상태표(자산),SA022
A21,유가증권_단기매매증권,연결재무상태표(자산),SA022
A25,유가증권_당기손익인식증권,연결재무상태표(자산),SA022
A22,유가증권_매도가능증권,연결재무상태표(자산),SA022
A23,유가증권_만기보유증권,연결재무상태표(자산),SA022
A24,유가증권_지분법적용투자주식,연결재무상태표(자산),SA022
A26,유가증권_지분법적용투자지분,연결재무상태표(자산),SA022
A3,대출채권,연결재무상태표(자산),SA022
A31,대출채권_(대손충당금)(-),연결재무상태표(자산),SA022
A32,대출채권_(현재가치할인차금)(-),연결재무상태표(자산),SA022
A33,대출채권_(이연대출부대손익)(+-),연결재무상태표(자산),SA022
A34,대출채권_원화대출금,연결재무상태표(자산),SA022
A35,대출채권_외화대출금,연결재무상태표(자산),SA022
A36,대출채권_콜론,연결재무상태표(자산),SA022
A37,대출채권_매입어음,연결재무상태표(자산),SA022
A38,대출채권_매입외환,연결재무상태표(자산),SA022
A39,대출채권_지급보증대지급금,연결재무상태표(자산),SA022
A3A,대출채권_신용카드채권,연결재무상태표(자산),SA022
A3B,대출채권_환매조건부채권매수,연결재무상태표(자산),SA022
A3C,대출채권_사모사채,연결재무상태표(자산),SA022
A3D,대출채권_팩토링채권,연결재무상태표(자산),SA022
A3E,대출채권_금대출,연결재무상태표(자산),SA022
A3F,대출채권_기타대출채권,연결재무상태표(자산),SA022
A4,유형자산,연결재무상태표(자산),SA022
A41,유형자산_(현재가치할인차금)(-),연결재무상태표(자산),SA022
A42,유형자산_투자자산,연결재무상태표(자산),SA022
A48,유형자산_투자부동산,연결재무상태표(자산),SA022
A43,,연결재무상태표(자산),SA022
A49,유형자산_업무용 유형자산,연결재무상태표(자산),SA022
A44,유형자산_(감가상각누계액)(-),연결재무상태표(자산),SA022
A45,유형자산_비업무용 유형자산,연결재무상태표(자산),SA022
A46,유형자산_비업무용 유형자산_(비업무용부동산평가충당금),연결재무상태표(자산),SA022
A47,유형자산_기타유형자산,연결재무상태표(자산),SA022
A5,기타자산,연결재무상태표(자산),SA022
A,자산총계,연결재무상태표(자산),SA022
A1,예수부채,연결재무상태표(부채),SA023
A11,예수부채_(현재가치할인차금)(-),연결재무상태표(부채),SA023
A12,예수부채_원화예수금,연결재무상태표(부채),SA023
A121,예수부채_원화예수금_은행계정,연결재무상태표(부채),SA023
A122,예수부채_원화예수금_신탁계정,연결재무상태표(부채),SA023
A123,예수부채_원화예수금_자회사,연결재무상태표(부채),SA023
A13,예수부채_외화예수금,연결재무상태표(부채),SA023
A14,예수부채_양도성예금증서,연결재무상태표(부채),SA023
A15,예수부채_금예수,연결재무상태표(부채),SA023
A2,차입부채,연결재무상태표(부채),SA023
A21,차입부채_차입금,연결재무상태표(부채),SA023
A22,차입부채_차입금_(현재가치할인차금)(-),연결재무상태표(부채),SA023
A23,차입부채_차입금_원화차입금,연결재무상태표(부채),SA023
A24,차입부채_차입금_외화차입금,연결재무상태표(부채),SA023
A25,차입부채_차입금_환매조건부채권매도,연결재무상태표(부채),SA023
A26,차입부채_차입금_매출어음,연결재무상태표(부채),SA023
A27,차입부채_차입금_외화수탁금,연결재무상태표(부채),SA023
A28,차입부채_차입금_콜머니,연결재무상태표(부채),SA023
A29,차입부채_차입금_신용카드채권매출,연결재무상태표(부채),SA023
A2A,차입부채_차입금_금차입,연결재무상태표(부채),SA023
A3,차입부채_사채,연결재무상태표(부채),SA023
A31,차입부채_사채_(할인발행차금)(-),연결재무상태표(부채),SA023
A32,차입부채_사채_원화사채,연결재무상태표(부채),SA023
A33,차입부채_사채_외화사채,연결재무상태표(부채),SA023
A4,기타부채,연결재무상태표(부채),SA023
A,부채총계,연결재무상태표(부채),SA023
B1,자본금,연결재무상태표(부채),SA023
B2,연결자본잉여금,연결재무상태표(부채),SA023
B3,연결이익잉여금,연결재무상태표(부채),SA023
B4,연결이익잉여금_(연결당기순이익),연결재무상태표(부채),SA023
B5,연결이익잉여금_(외부주주지분초과손실액),연결재무상태표(부채),SA023
B6,연결자본조정,연결재무상태표(부채),SA023
B7,연결기타포괄손익누계액,연결재무상태표(부채),SA023
B8,외부주주지분,연결재무상태표(부채),SA023
B,자본총계,연결재무상태표(부채),SA023
C,부채와자본총계,연결재무상태표(부채),SA023
A,영업수익,연결손익계산서,SA024
A1,이자수익,연결손익계산서,SA024
A11,이자수익_원화이자수익,연결손익계산서,SA024
A12,이자수익_외화이자수익,연결손익계산서,SA024
A13,이자수익_금이자수익,연결손익계산서,SA024
A14,이자수익_단기매매증권이자,연결손익계산서,SA024
A17,이자수익_당기손익인식증권이자,연결손익계산서,SA024
A15,이자수익_매도가능증권이자,연결손익계산서,SA024
A16,이자수익_만기보유증권이자,연결손익계산서,SA024
A2,수수료수익,연결손익계산서,SA024
A21,수수료수익_원화수입수수료,연결손익계산서,SA024
A22,수수료수익_외화수입수수료,연결손익계산서,SA024
A23,수수료수익_금수입수수료,연결손익계산서,SA024
A3,기타영업수익,연결손익계산서,SA024
A31,기타영업수익_단기매매증권관련수익,연결손익계산서,SA024
A35,기타영업수익_당기손익인식증권관련수익,연결손익계산서,SA024
A32,기타영업수익_매도가능증권관련수익,연결손익계산서,SA024
A33,기타영업수익_만기보유증권관련수익,연결손익계산서,SA024
A34,기타영업수익_기타수익,연결손익계산서,SA024
B,영업비용,연결손익계산서,SA024
B1,이자비용,연결손익계산서,SA024
B11,이자비용_원화지급이자,연결손익계산서,SA024
B12,이자비용_외화지급이자,연결손익계산서,SA024
B13,이자비용_금지급이자,연결손익계산서,SA024
B2,수수료지급비용,연결손익계산서,SA024
